index,plant,latitude,longitude,tech,invest,capacity,yield,county,lpfactor,tier,adjusted_investment_cost,electricity_generated_mw,electricity_generated_mwh,electricity_revenue
163,10062,35.483894,-101.051743,1,130956797,38015926,232,48179,0.594117155,Small,1290800.837,8.838577247027741,77425.93668396301,3491909.7444467316
160,10059,35.699722,-101.36,1,130956797,38015926,232,48233,0.612524631,Small,1330793.598406057,8.838577247027741,77425.93668396301,3491909.7444467316
161,10060,35.659157,-101.45266,1,130956797,38015926,232,48233,0.612524631,Small,1330793.598406057,8.838577247027741,77425.93668396301,3491909.7444467316
94,9133,32.665,-94.12333,1,130956797,38015926,232,48315,0.654417507,Small,1421811.6054837494,8.838577247027741,77425.93668396301,3491909.7444467316
101,9142,32.915556,-94.724167,1,130956797,38015926,232,48343,0.689328237,Small,1497659.945,8.838577247027741,77425.93668396301,3491909.7444467316
93,9132,30.9114,-93.9767,1,130956797,38015926,232,48241,0.745185405,Small,1619017.2874854158,8.838577247027741,77425.93668396301,3491909.7444467316
165,10065,36.41667,-100.78834,1,130956797,38015926,232,48357,0.751532811,Small,1632807.8958034744,8.838577247027741,77425.93668396301,3491909.7444467316
158,10057,35.403999,-101.889999,1,130956797,38015926,232,48375,0.761053919,Small,1653493.8061079248,8.838577247027741,77425.93668396301,3491909.7444467316
157,10056,35.23,-102.0175,1,130956797,38015926,232,48375,0.761053919,Small,1653493.8061079248,8.838577247027741,77425.93668396301,3491909.7444467316
159,10058,35.205437,-101.791649,1,130956797,38015926,232,48375,0.761053919,Small,1653493.8061079248,8.838577247027741,77425.93668396301,3491909.7444467316
167,10067,35.951944,-101.873889,1,130956797,38015926,232,48341,0.778826655,Small,1692107.5076603787,8.838577247027741,77425.93668396301,3491909.7444467316
166,10066,28.566421,-96.839191,1,130956797,38015926,232,48057,0.813737385,Small,1767955.8468917888,8.838577247027741,77425.93668396301,3491909.7444467316
164,10063,35.330379,-101.579697,1,130956797,38015926,232,48065,0.823258493,Small,1788641.7571962394,8.838577247027741,77425.93668396301,3491909.7444467316
92,9131,32.0022,-95.268,1,130956797,38015926,232,48073,0.879115661,Small,1909999.0999664955,8.838577247027741,77425.93668396301,3491909.7444467316
47,9085,31.186014,-94.798904,1,130956797,38015926,232,48005,0.879750402,Small,1911378.161667356,8.838577247027741,77425.93668396301,3491909.7444467316
69,9107,32.0193817,-97.1359377,1,130956797,38015926,232,48217,0.901331581,Small,1958266.2269070628,8.838577247027741,77425.93668396301,3491909.7444467316
141,9186,33.432621,-94.203003,1,130956797,38015926,232,48037,0.954015046,Small,2072728.2655182895,8.838577247027741,77425.93668396301,3491909.7444467316
140,9185,33.41666,-94.065,1,130956797,38015926,232,48037,0.954015046,Small,2072728.2655182895,8.838577247027741,77425.93668396301,3491909.7444467316
142,9187,33.431694,-94.392525,1,130956797,38015926,232,48037,0.954015046,Small,2072728.2655182895,8.838577247027741,77425.93668396301,3491909.7444467316
